journal,ISSN,eISSN,categories
FORUM FOR DEVELOPMENT STUDIES,0803-9410,1891-1765,[DEVELOPMENT STUDIES]
ECOLOGY,0012-9658,1939-9170,[ECOLOGY]
OIKOS,0030-1299,1600-0706,[ECOLOGY]
ECOLOGICAL MODELLING,0304-3800,1872-7026,[ECOLOGY]
FUNCTIONAL ECOLOGY,0269-8463,1365-2435,[ECOLOGY]
FRESHWATER BIOLOGY,0046-5070,1365-2427,[ECOLOGY]
DIVERSITY AND DISTRIBUTIONS,1366-9516,1472-4642,[ECOLOGY]
AUSTRAL ECOLOGY,1442-9985,1442-9993,[ECOLOGY]
Ecological Complexity,1476-945X,1476-9840,[ECOLOGY]
Remote Sensing in Ecology and Conservation,N/A,2056-3485,[ECOLOGY]
Journal of Biological Dynamics,1751-3758,1751-3766,[ECOLOGY]
COMMUNITY ECOLOGY,1585-8553,1588-2756,[ECOLOGY]
INTERCIENCIA,0378-1844,0378-1844,[ECOLOGY]
Food Webs,2352-2496,2352-2496,[ECOLOGY]
Arid Ecosystems,2079-0961,2079-0988,[ECOLOGY]
WEB ECOLOGY,2193-3081,1399-1183,[ECOLOGY]
Conservation,N/A,2673-7159,[ECOLOGY]
JOURNAL OF EUROPEAN PUBLIC POLICY,1350-1763,1466-4429,[PUBLIC ADMINISTRATION]
Policy Studies,0144-2872,1470-1006,[PUBLIC ADMINISTRATION]
Critical Policy Studies,1946-0171,1946-018X,[PUBLIC ADMINISTRATION]
Public Integrity,1099-9922,1558-0989,[PUBLIC ADMINISTRATION]
Lex Localis-Journal of Local Self-Government,1581-5374,1855-363X,[PUBLIC ADMINISTRATION]
Commonwealth Journal of Local Governance,1836-0394,1836-0394,[PUBLIC ADMINISTRATION]
TREE PHYSIOLOGY,0829-318X,1758-4469,[FORESTRY]
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0048-0134,1179-5395,[FORESTRY]
Sumarski List,0373-1332,1846-9140,[FORESTRY]
Forest and Society,2549-4724,2549-4333,[FORESTRY]
European Journal of Industrial Engineering,1751-5254,1751-5262,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Business Analytics,2573-234X,2573-2358,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Computer-Mediated Communication,1083-6101,1083-6101,[COMMUNICATION]
Communication Methods and Measures,1931-2458,1931-2466,[COMMUNICATION]
Journal of Public Relations Research,1062-726X,1532-754X,[COMMUNICATION]
Social Semiotics,1035-0330,1470-1219,[COMMUNICATION]
Journal of Information Technology & Politics,1933-1681,1933-169X,[COMMUNICATION]
Visual Communication,1470-3572,1741-3214,[COMMUNICATION]
Argumentation,0920-427X,1572-8374,[COMMUNICATION]
Journal of Media Ethics,2373-6992,2373-700X,[COMMUNICATION]
Public Relations Inquiry,2046-147X,2046-1488,[COMMUNICATION]
Communicatio-South African Journal for Communication Theory and Research,0250-0167,1753-5379,[COMMUNICATION]
Visual Communication Quarterly,1555-1393,1555-1407,[COMMUNICATION]
Journal of Asian Pacific Communication,0957-6851,1569-9838,[COMMUNICATION]
Media Education-Mediaobrazovanie,1994-4160,1994-4195,[COMMUNICATION]
Journal of Language and Sexuality,2211-3770,2211-3789,[COMMUNICATION]
Question,1669-6581,1669-6581,[COMMUNICATION]
Asiascape-Digital Asia,2214-2304,2214-2312,[COMMUNICATION]
Cognitive Linguistic Studies,2213-8722,2213-8730,[COMMUNICATION]
Labour-England,1121-7081,1467-9914,[INDUSTRIAL RELATIONS & LABOR]
Labour and Industry,1030-1763,2325-5676,[INDUSTRIAL RELATIONS & LABOR]
Labour History,0023-6942,1839-3039,[INDUSTRIAL RELATIONS & LABOR]
Journal of Pharmaceutical Policy and Practice,N/A,2052-3211,[HEALTH POLICY & SERVICES]
Cost Effectiveness and Resource Allocation,1478-7547,1478-7547,[HEALTH POLICY & SERVICES]
Leadership in Health Services,1751-1879,1751-1887,[HEALTH POLICY & SERVICES]
HEALTH CARE ANALYSIS,1065-3058,1573-3394,[HEALTH POLICY & SERVICES]
Journal of Cancer Policy,N/A,2213-5383,[HEALTH POLICY & SERVICES]
Avicenna,2220-2749,2220-2749,[HEALTH POLICY & SERVICES]
SUPPORTIVE CARE IN CANCER,0941-4355,1433-7339,[HEALTH CARE SCIENCES & SERVICES]
PALLIATIVE MEDICINE,0269-2163,1477-030X,[HEALTH CARE SCIENCES & SERVICES]
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677,[HEALTH CARE SCIENCES & SERVICES]
Frontiers in Digital Health,N/A,2673-253X,[HEALTH CARE SCIENCES & SERVICES]
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,0046-9580,1945-7243,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
International Journal of Integrated Care,1568-4156,1568-4156,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
AMERICAN JOURNAL OF MEDICAL QUALITY,1062-8606,1555-824X,[HEALTH CARE SCIENCES & SERVICES]
BMJ Health & Care Informatics,N/A,2632-1009,[HEALTH CARE SCIENCES & SERVICES]
American Health and Drug Benefits,1942-2962,1942-2970,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Quality Management in Health Care,1063-8628,1550-5154,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
BMJ Innovations,2055-8074,2055-642X,[HEALTH CARE SCIENCES & SERVICES]
Online Journal of Public Health Informatics,N/A,1947-2579,[HEALTH CARE SCIENCES & SERVICES]
Journal of Medicine Access,2755-0834,2755-0834,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JOURNAL OF ACCOUNTING RESEARCH,0021-8456,1475-679X,"['BUSINESS, FINANCE']"
Accounting Auditing & Accountability Journal,0951-3574,1758-4205,"['BUSINESS, FINANCE']"
North American Journal of Economics and Finance,1062-9408,1879-0860,"['BUSINESS, FINANCE', ECONOMICS]"
INTERNATIONAL JOURNAL OF FINANCE & ECONOMICS,1076-9307,1099-1158,"['BUSINESS, FINANCE']"
Borsa Istanbul Review,2214-8450,2214-8469,"['BUSINESS, FINANCE', ECONOMICS]"
JOURNAL OF RISK AND INSURANCE,0022-4367,1539-6975,"['BUSINESS, FINANCE', ECONOMICS]"
REAL ESTATE ECONOMICS,1080-8620,1540-6229,"['BUSINESS, FINANCE', ECONOMICS, URBAN STUDIES]"
Qualitative Research in Accounting and Management,1176-6093,1758-7654,"['BUSINESS, FINANCE', MANAGEMENT]"
Journal of Real Estate Research,0896-5803,2691-1175,"['BUSINESS, FINANCE', ECONOMICS]"
Asia-Pacific Journal of Financial Studies,2041-9945,2041-6156,"['BUSINESS, FINANCE']"
Revista de Contabilidad-Spanish Accounting Review,1138-4891,1988-4672,"['BUSINESS, FINANCE']"
Quantitative Finance and Economics,2573-0134,2573-0134,"['BUSINESS, FINANCE']"
Journal of Alternative Investments,1520-3255,2168-8435,"['BUSINESS, FINANCE']"
South African Journal of Accounting Research,1029-1954,2376-3981,"['BUSINESS, FINANCE']"
Journal of Operational Risk,1744-6740,1755-2710,"['BUSINESS, FINANCE']"
Indonesian Journal of Sustainability Accounting and Management,2597-6214,2597-6222,"['BUSINESS, FINANCE', MANAGEMENT]"
JOURNAL OF MANAGEMENT,0149-2063,1557-1211,"[BUSINESS, MANAGEMENT]"
Journal of Hospitality and Tourism Management,1447-6770,1839-5260,[MANAGEMENT]
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,0963-1798,2044-8325,[MANAGEMENT]
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,0953-7325,1465-3990,[MANAGEMENT]
Research in Organizational Behavior,0191-3085,0191-3085,[MANAGEMENT]
International Transactions in Operational Research,0969-6016,1475-3995,"[MANAGEMENT, OPERATIONS RESEARCH & MANAGEMENT SCIENCE]"
Career Development International,1362-0436,1758-6003,[MANAGEMENT]
Creativity and Innovation Management,0963-1690,1467-8691,[MANAGEMENT]
International Journal of Educational Management,0951-354X,1758-6518,[MANAGEMENT]
Computational Economics,0927-7099,1572-9974,"[ECONOMICS, MANAGEMENT]"
Managing Sport and Leisure,2375-0472,2375-0480,[MANAGEMENT]
Management Revue,0935-9915,1861-9908,[MANAGEMENT]
Qualitative Research in Organizations and Management,1746-5648,1746-5656,[MANAGEMENT]
International Journal of Innovation Studies,2096-2487,2589-2975,[MANAGEMENT]
LogForum,1895-2038,1734-459X,[MANAGEMENT]
Management & Organizational History,1744-9359,1744-9367,[MANAGEMENT]
Quality Innovation Prosperity-Kvalita Inovacia Prosperita,1335-1745,1338-984X,[MANAGEMENT]
Serbian Journal of Management,1452-4864,1452-4864,[MANAGEMENT]
International Journal of Emergency Management,1471-4825,1741-5071,[MANAGEMENT]
Infrastructure Asset Management,2053-0242,2053-0250,[MANAGEMENT]
Middle East Journal of Management,2050-3636,2050-3644,[MANAGEMENT]
International Journal of Value Chain Management,1741-5357,1741-5365,[MANAGEMENT]
Cuadernos de Administracion-Universidad del Valle,0120-4645,2256-5078,[MANAGEMENT]
Dalhousie Journal of Interdisciplinary Management,N/A,1923-6530,[MANAGEMENT]
Brazilian Administration Review,1807-7692,1807-7692,"[BUSINESS, MANAGEMENT]"
EUROPEAN JOURNAL OF MARKETING,0309-0566,1758-7123,[BUSINESS]
JOURNAL OF RETAILING,0022-4359,1873-3271,[BUSINESS]
Construction Management and Economics,0144-6193,1466-433X,[BUSINESS]
Family Business Review,0894-4865,1741-6248,[BUSINESS]
International Journal of Fashion Design Technology and Education,1754-3266,1754-3274,[BUSINESS]
Gestao e Desenvolvimento,1807-5436,2446-6875,[BUSINESS]
Arts and the Market,2056-4945,2056-4953,[BUSINESS]
Geopolitics,1465-0045,1557-3028,[GEOGRAPHY]
SOCIOLOGIA RURALIS,0038-0199,1467-9523,[GEOGRAPHY]
Cambridge Journal of Regions Economy and Society,1752-1378,1752-1386,"[DEVELOPMENT STUDIES, ECONOMICS, GEOGRAPHY]"
Regional Studies Regional Science,2168-1376,2168-1376,[GEOGRAPHY]
Cartographica,0317-7173,1911-9925,[GEOGRAPHY]
Hungarian Geographical Bulletin,2064-5031,2064-5147,[GEOGRAPHY]
Southeastern Geographer,0038-366X,1549-6929,[GEOGRAPHY]
Geographica Pannonica,0354-8724,1820-7138,[GEOGRAPHY]
Journal of the Geographical Institute Jovan Cvijic SASA,0350-7599,1821-2808,[GEOGRAPHY]
Ter es Tarsadalom,2062-9923,2062-9923,[GEOGRAPHY]
JOURNAL OF ETHNIC AND MIGRATION STUDIES,1369-183X,1469-9451,"[DEMOGRAPHY, ETHNIC STUDIES]"
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,0032-4728,1477-4747,[DEMOGRAPHY]
Refugee Survey Quarterly,1020-4067,1471-695X,[DEMOGRAPHY]
Asian and Pacific Migration Journal,0117-1968,2057-049X,[DEMOGRAPHY]
Nordic Journal of Migration Research,1799-649X,1799-649X,[DEMOGRAPHY]
Cultural Diversity & Ethnic Minority Psychology,1099-9809,1939-0106,[ETHNIC STUDIES]
Canadian Slavonic Papers,0008-5006,2375-2475,[ETHNIC STUDIES]
ECONOMIC JOURNAL,0013-0133,1468-0297,[ECONOMICS]
ECONOMICS OF EDUCATION REVIEW,0272-7757,1873-7382,[ECONOMICS]
KYKLOS,0023-5962,1467-6435,[ECONOMICS]
JOURNAL OF HOUSING ECONOMICS,1051-1377,1096-0791,"[ECONOMICS, URBAN STUDIES]"
American Economic Review-Insights,2640-205X,2640-2068,[ECONOMICS]
JOURNAL OF AFRICAN ECONOMIES,0963-8024,1464-3723,[ECONOMICS]
INTERNATIONAL JOURNAL OF GAME THEORY,0020-7276,1432-1270,[ECONOMICS]
Oeconomia Copernicana,2083-1277,2353-1827,[ECONOMICS]
Agricultural and Food Economics,N/A,2193-7532,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
Annals of Public and Cooperative Economics,1370-4788,1467-8292,[ECONOMICS]
MATHEMATICAL SOCIAL SCIENCES,0165-4896,1879-3118,[ECONOMICS]
REVIEW OF RADICAL POLITICAL ECONOMICS,0486-6134,1552-8502,[ECONOMICS]
International Journal of Ethics and Systems,2514-9369,2514-9377,[ECONOMICS]
Journal of Public Economic Theory,1097-3923,1467-9779,[ECONOMICS]
Empirica,0340-8744,1573-6911,[ECONOMICS]
BULLETIN OF INDONESIAN ECONOMIC STUDIES,0007-4918,1472-7234,"[AREA STUDIES, ECONOMICS]"
Water Resources and Economics,2212-4284,2212-4284,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Journal of Competition Law & Economics,1744-6414,1744-6422,[ECONOMICS]
B E Journal of Macroeconomics,2194-6116,1935-1690,[ECONOMICS]
Investigaciones Regionales-Journal of Regional Research,1695-7253,2340-2717,[ECONOMICS]
Series-Journal of the Spanish Economic Association,1869-4187,1869-4195,[ECONOMICS]
Margin-Journal of Applied Economic Research,0973-8010,0973-8029,[ECONOMICS]
Economic Issues,1363-7029,1363-7029,[ECONOMICS]
Ekonomski Vjesnik,0353-359X,1847-2206,[ECONOMICS]
Etikonomi,1412-8969,2461-0771,[ECONOMICS]
Region et Developpement,1267-5059,2117-0843,[ECONOMICS]
Croatian Economic Survey,1330-4860,1846-3878,[ECONOMICS]
Analytic Methods in Accident Research,2213-6657,2213-6665,[TRANSPORTATION]
Asian Journal of Shipping and Logistics,2092-5212,2352-4871,[TRANSPORTATION]
Komunikacie - vedecke listy Zilinskej univerzity v Ziline,1335-4205,2585-7878,[TRANSPORTATION]
Frontiers in Future Transportation,N/A,2673-5210,[TRANSPORTATION]
Nature Climate Change,1758-678X,1758-6798,[ENVIRONMENTAL STUDIES]
HOUSING STUDIES,0267-3037,1466-1810,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Carbon Management,1758-3004,1758-3012,[ENVIRONMENTAL STUDIES]
npj Urban Sustainability,N/A,2661-8001,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Sustainability-Science Practice and Policy,N/A,1548-7733,[ENVIRONMENTAL STUDIES]
Earth System Governance,2589-8116,2589-8116,"[ENVIRONMENTAL STUDIES, PUBLIC ADMINISTRATION]"
ENVIRONMENT AND HISTORY,0967-3407,1752-7023,[ENVIRONMENTAL STUDIES]
Revista de Estudios Regionales,0213-7585,0213-7585,[ENVIRONMENTAL STUDIES]
JOURNAL OF ASIAN STUDIES,0021-9118,1752-0401,[AREA STUDIES]
SLAVIC REVIEW,0037-6779,2325-7784,[AREA STUDIES]
CHINA JOURNAL,1324-9347,1835-8535,[AREA STUDIES]
Journal of Contemporary European Studies,1478-2804,1478-2790,[AREA STUDIES]
China Information,0920-203X,1741-590X,[AREA STUDIES]
Middle East Critique,1943-6149,1943-6157,[AREA STUDIES]
Israel Affairs,1353-7121,1743-9086,[AREA STUDIES]
SOJOURN-Journal of Social Issues in Southeast Asia,0217-9520,1793-2858,[AREA STUDIES]
Pacific Focus,1225-4657,1976-5118,[AREA STUDIES]
Revue des Mondes Musulmans et de la Mediterranee,0997-1327,2105-2271,[AREA STUDIES]
Russian Journal of Vietnamese Studies-Vyetnamskiye issledovaniya,2618-9453,2618-9453,[AREA STUDIES]
Balkan Arastrma Enstitusu Dergisi-Journal of Balkan Research Institute-JBRI,2147-1371,2147-1371,[AREA STUDIES]
China and Asia,2589-4641,2589-465X,[AREA STUDIES]
Recent Period Turkish Studies-Yakin Donem Turkiye Arastirmalari,1304-9720,2547-9679,[AREA STUDIES]
European Journal of Development Research,0957-8811,1743-9728,[DEVELOPMENT STUDIES]
OECOLOGIA,0029-8549,1432-1939,[ECOLOGY]
ECOLOGICAL ENGINEERING,0925-8574,1872-6992,[ECOLOGY]
Frontiers in Ecology and Evolution,2296-701X,2296-701X,[ECOLOGY]
BIOLOGICAL INVASIONS,1387-3547,1573-1464,[ECOLOGY]
Journal of Arid Environments,0140-1963,1095-922X,[ECOLOGY]
JOURNAL OF VEGETATION SCIENCE,1100-9233,1654-1103,"[ECOLOGY, FORESTRY]"
Acta Ecologica Sinica,1872-2032,1872-2032,[ECOLOGY]
Current Opinion in Insect Science,2214-5745,2214-5753,[ECOLOGY]
AFRICAN JOURNAL OF ECOLOGY,0141-6707,1365-2028,[ECOLOGY]
POLAR RECORD,0032-2474,1475-3057,[ECOLOGY]
NATURAL AREAS JOURNAL,0885-8608,2162-4399,"[ECOLOGY, FORESTRY]"
WILDLIFE MONOGRAPHS,0084-0173,1938-5455,[ECOLOGY]
NORTHWEST SCIENCE,0029-344X,2161-9859,[ECOLOGY]
Vestnik Tomskogo Gosudarstvennogo Universiteta-Biologiya,1998-8591,2311-2077,[ECOLOGY]
Urban Planning,2183-7635,2183-7635,[URBAN STUDIES]
Journal of Urban Management,2226-5856,2589-0360,[URBAN STUDIES]
Proceedings of the Institution of Civil Engineers-Urban Design and Planning,1755-0793,1755-0807,[URBAN STUDIES]
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1053-1858,1477-9803,[PUBLIC ADMINISTRATION]
LOCAL GOVERNMENT STUDIES,0300-3930,1743-9388,[PUBLIC ADMINISTRATION]
Review of Public Personnel Administration,0734-371X,1552-759X,[PUBLIC ADMINISTRATION]
Review of Policy Research,1541-132X,1541-1338,[PUBLIC ADMINISTRATION]
Journal of Public Procurement,1535-0118,2150-6930,[PUBLIC ADMINISTRATION]
Global Public Policy and Governance,2730-6291,2730-6305,[PUBLIC ADMINISTRATION]
JOURNAL OF FORESTRY RESEARCH,1007-662X,1993-0607,[FORESTRY]
FOREST PATHOLOGY,1437-4781,1439-0329,[FORESTRY]
Trees Forests and People,N/A,2666-7193,[FORESTRY]
DECISION SUPPORT SYSTEMS,0167-9236,1873-5797,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,0951-192X,1362-3052,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,0219-6220,1793-6845,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Central European Journal of Operations Research,1435-246X,1613-9178,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journal of Decision Systems,1246-0125,2116-7052,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,0269-9648,1469-8951,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Pacific Journal of Optimization,1348-9151,1348-9151,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
JOURNAL OF HEALTH COMMUNICATION,1081-0730,1087-0415,[COMMUNICATION]
JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,0883-8151,1550-6878,[COMMUNICATION]
Journal of Children and Media,1748-2798,1748-2801,[COMMUNICATION]
Discourse Context & Media,2211-6958,2211-6966,[COMMUNICATION]
Journal of Communication in Healthcare,1753-8068,1753-8076,"[COMMUNICATION, HEALTH POLICY & SERVICES]"
Review of Communication Research,2255-4165,2255-4165,[COMMUNICATION]
Argumentation and Advocacy,1051-1431,2576-8476,[COMMUNICATION]
Pacific Journalism Review,1023-9499,2324-2035,[COMMUNICATION]
Journal of Applied Journalism & Media Studies,2001-0818,2049-9531,[COMMUNICATION]
Medijske Studije-Media Studies,1847-9758,1848-5030,[COMMUNICATION]
Journal of Arab & Muslim Media Research,1751-9411,1751-942X,[COMMUNICATION]
Communicare-Journal for Communication Sciences in Southern Africa,0259-0069,0259-0069,[COMMUNICATION]
Catalan Journal of Communication & Cultural Studies,1757-1898,1757-1901,[COMMUNICATION]
Documentacion de las Ciencias de la Informacion,0210-4210,1988-2890,[COMMUNICATION]
African Journal of Agricultural and Resource Economics-AFJARE,1993-3738,1993-3738,[AGRICULTURAL ECONOMICS & POLICY]
Poljoprivreda,1330-7142,1848-8080,[AGRICULTURAL ECONOMICS & POLICY]
Australasian Agribusiness Review,1833-5675,1442-6951,[AGRICULTURAL ECONOMICS & POLICY]
INDUSTRIAL RELATIONS,0019-8676,1468-232X,[INDUSTRIAL RELATIONS & LABOR]
Workplace-A Journal for Academic Labor,1715-0094,1715-0094,[INDUSTRIAL RELATIONS & LABOR]
African Journal of Employee Relations,N/A,2664-3731,[INDUSTRIAL RELATIONS & LABOR]
Health Information Management Journal,1833-3583,1833-3575,[HEALTH POLICY & SERVICES]
Journal of Health Management,0972-0634,0973-0729,[HEALTH POLICY & SERVICES]
Learning Health Systems,2379-6146,2379-6146,[HEALTH POLICY & SERVICES]
International Journal of Pharmaceutical and Healthcare Marketing,1750-6123,1750-6131,[HEALTH POLICY & SERVICES]
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,1353-4505,1464-3677,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
JMIR Formative Research,N/A,2561-326X,[HEALTH CARE SCIENCES & SERVICES]
MEDICAL HISTORY,0025-7273,2048-8343,[HEALTH CARE SCIENCES & SERVICES]
Palliative Care & Social Practice,2632-3524,2632-3524,[HEALTH CARE SCIENCES & SERVICES]
Health Affairs Scholar,N/A,2976-5390,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Medecine Palliative,1636-6522,2213-0098,[HEALTH CARE SCIENCES & SERVICES]
Farmeconomia-Health Economics and Therapeutic Pathways,1721-6915,2240-256X,[HEALTH CARE SCIENCES & SERVICES]
Finance Research Letters,1544-6123,1544-6131,"['BUSINESS, FINANCE']"
CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,0964-8410,1467-8683,"[BUSINESS, 'BUSINESS, FINANCE', MANAGEMENT]"
FINANCIAL MANAGEMENT,0046-3892,1755-053X,"['BUSINESS, FINANCE']"
JOURNAL OF RISK AND UNCERTAINTY,0895-5646,1573-0476,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of International Accounting Auditing and Taxation,1061-9518,1879-1603,"['BUSINESS, FINANCE']"
Australian Accounting Review,1035-6908,1835-2561,"['BUSINESS, FINANCE']"
FEDERAL RESERVE BANK OF ST LOUIS REVIEW,0014-9187,2163-4505,"['BUSINESS, FINANCE', ECONOMICS]"
Accounting Historians Journal,0148-4184,2327-4468,"['BUSINESS, FINANCE']"
Accounting Economics and Law-A Convivium,2194-6051,2152-2820,"['BUSINESS, FINANCE']"
Journal of Financial Reporting,2380-2154,2380-2146,"['BUSINESS, FINANCE']"
Latin American Journal of Central Banking,2666-1438,2666-1438,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Credit Risk,1744-6619,1755-9723,"['BUSINESS, FINANCE']"
JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,1939-1854,[MANAGEMENT]
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,"[BUSINESS, MANAGEMENT]"
Business Strategy and the Environment,0964-4733,1099-0836,"[BUSINESS, ENVIRONMENTAL STUDIES, MANAGEMENT]"
ORGANIZATION SCIENCE,1047-7039,N/A,[MANAGEMENT]
MANAGEMENT DECISION,0025-1747,1758-6070,"[BUSINESS, MANAGEMENT]"
PERSONNEL PSYCHOLOGY,0031-5826,1744-6570,[MANAGEMENT]
Academy of Management Annals,1941-6520,1941-6067,"[BUSINESS, MANAGEMENT]"
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,1540-5885,"[BUSINESS, MANAGEMENT]"
Journal of Purchasing and Supply Management,1478-4092,1873-6505,[MANAGEMENT]
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,1058-6407,1530-9134,"[ECONOMICS, MANAGEMENT]"
Human Resource Development Review,1534-4843,1552-6712,[MANAGEMENT]
Knowledge Management Research & Practice,1477-8238,1477-8246,[MANAGEMENT]
International Journal of Managing Projects in Business,1753-8378,1753-8386,"[BUSINESS, MANAGEMENT]"
Scandinavian Journal of Management,0956-5221,1873-3387,[MANAGEMENT]
Chinese Management Studies,1750-614X,1750-6158,[MANAGEMENT]
Asia Pacific Journal of Human Resources,1038-4111,1744-7941,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]"
Organizational Psychology Review,2041-3866,2041-3874,[MANAGEMENT]
Asia Pacific Business Review,1360-2381,1743-792X,"[BUSINESS, MANAGEMENT]"
REVIEW OF INDUSTRIAL ORGANIZATION,0889-938X,1573-7160,"[ECONOMICS, MANAGEMENT]"
Work Aging and Retirement,2054-4642,2054-4650,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]"
Asian Business & Management,1472-4782,1476-9328,"[BUSINESS, MANAGEMENT]"
Spanish Journal of Marketing-ESIC,2444-9695,2444-9709,"[BUSINESS, MANAGEMENT]"
